Uniprot_Id,Protein_Name,Gene_Name
P07738,"Bisphosphoglycerate mutase, BPGM, EC 5.4.2.4 (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase, EC 5.4.2.11) (2,3-diphosphoglycerate mutase, DPGM) (BPG-dependent PGAM)",BPGM
P17213,"Bactericidal permeability-increasing protein, BPI (CAP 57)",BPI
Q9NP55,"BPI fold-containing family A member 1 (Lung-specific protein X) (Nasopharyngeal carcinoma-related protein) (Palate lung and nasal epithelium clone protein) (Secretory protein in upper respiratory tracts) (Short PLUNC1, SPLUNC1) (Tracheal epithelium-enriched protein) (Von Ebner protein Hl)",BPIFA1
Q8TDL5,"BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (von Ebner minor salivary gland protein, VEMSGP)",BPIFB1
Q8N4F0,"BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1, BPI-like 1) (Long palate, lung and nasal epithelium carcinoma-associated protein 2) (RYSR)",BPIFB2
O95861,"3'(2'),5'-bisphosphate nucleotidase 1, EC 3.1.3.7 (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase, PIP)",BPNT1
Q5VW32,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),BROX
P35613,"Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer, EMMPRIN) (Hepatoma-associated antigen, HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor, TCSF) (CD antigen CD147)",BSG
Q075Z2,Binder of sperm protein homolog 1 (Bovine seminal plasma protein homolog 1) (Bovine seminal plasma protein-like 1),BSPH1
Q10588,"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2, EC 3.2.2.6 (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1, BST-1) (Cyclic ADP-ribose hydrolase 2, cADPr hydrolase 2) (CD antigen CD157)",BST1
P43251,"Biotinidase, Biotinase, EC 3.5.1.12",BTD
P20290,"Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta, NAC-beta) (RNA polymerase B transcription factor 3)",BTF3
O43684,Mitotic checkpoint protein BUB3,BUB3
Q7L1Q6,eIF5-mimic protein 2 (Basic leucine zipper and W2 domain-containing protein 1) (Protein Orf),BZW1
Q9H0W9,"Ester hydrolase C11orf54, EC 3.1.-.-",C11orf54
Q99622,Protein C10,C12orf57
Q6P387,Uncharacterized protein C16orf46,C16orf46
Q8N0U7,Uncharacterized protein C1orf87,C1orf87
P02745,Complement C1q subcomponent subunit A,C1QA
P02746,Complement C1q subcomponent subunit B,C1QB
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP, C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33, SF2AP32)",C1QBP
P02747,Complement C1q subcomponent subunit C,C1QC
P00736,"Complement C1r subcomponent, EC 3.4.21.41 (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain ]",C1R
Q9NZP8,"Complement C1r subcomponent-like protein, C1r-LP, C1r-like protein, EC 3.4.21.- (C1r-like serine protease analog protein, CLSPa)",C1RL
P09871,"Complement C1s subcomponent, EC 3.4.21.42 (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain ]",C1S
P06681,"Complement C2, EC 3.4.21.43 (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment ]",C2
Q9GZN8,UPF0687 protein C20orf27,C20orf27
P01024,"Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c, C3bc; Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein, ASP (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2 ]",C3
P0C0L4,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain ],C4A
P0C0L5,Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain ],C4B; C4B_2
P04003,"C4b-binding protein alpha chain, C4bp (Proline-rich protein, PRP)",C4BPA
P20851,C4b-binding protein beta chain,C4BPB
P01031,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain ],C5
P13671,Complement component C6,C6
P10643,Complement component C7,C7
P07357,Complement component C8 alpha chain (Complement component 8 subunit alpha),C8A
P07358,Complement component C8 beta chain (Complement component 8 subunit beta),C8B
P07360,Complement component C8 gamma chain,C8G
P02748,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b ],C9
Q5T6V5,Queuosine salvage protein,C9orf64
P00915,"Carbonic anhydrase 1, EC 4.2.1.1 (Carbonate dehydratase I) (Carbonic anhydrase B, CAB) (Carbonic anhydrase I, CA-I) (Cyanamide hydratase CA1, EC 4.2.1.69)",CA1
P00918,"Carbonic anhydrase 2, EC 4.2.1.1 (Carbonate dehydratase II) (Carbonic anhydrase C, CAC) (Carbonic anhydrase II, CA-II) (Cyanamide hydratase CA2, EC 4.2.1.69)",CA2
P07451,"Carbonic anhydrase 3, EC 4.2.1.1 (Carbonate dehydratase III) (Carbonic anhydrase III, CA-III)",CA3
P22748,Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV),CA4
Q9Y376,Calcium-binding protein 39 (MO25alpha) (Protein Mo25),CAB39
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1 ],CACNA2D1
P27708,"CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase, EC 6.3.5.5; Aspartate carbamoyltransferase, EC 2.1.3.2; Dihydroorotase, EC 3.5.2.3 ]",CAD
Q05682,"Caldesmon, CDM",CALD1
P0DP25,Calmodulin-3,CALM3
P27797,"Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60, ERp60) (HACBP) (grp60)",CALR
O43852,Calumenin (Crocalbin) (IEF SSP 9302),CALU
Q13557,"Calcium/calmodulin-dependent protein kinase type II subunit delta, CaM kinase II subunit delta, CaMK-II subunit delta, EC 2.7.11.17",CAMK2D
P49913,"Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein, CAP-18, hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37 ]",CAMP
Q86VP6,"Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A, TBP-interacting protein 120A) (p120 CAND1)",CAND1
Q8WVQ1,Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107),CANT1 SHAPY
P27824,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),CANX
Q01518,"Adenylyl cyclase-associated protein 1, CAP 1",CAP1
P40121,Macrophage-capping protein (Actin regulatory protein CAP-G),CAPG
P07384,"Calpain-1 catalytic subunit, EC 3.4.22.52 (Calcium-activated neutral proteinase 1, CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain, muCANP)",CAPN1
P17655,"Calpain-2 catalytic subunit, EC 3.4.22.53 (Calcium-activated neutral proteinase 2, CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain, M-calpain)",CAPN2
P04632,"Calpain small subunit 1, CSS1 (Calcium-activated neutral proteinase small subunit, CANP small subunit) (Calcium-dependent protease small subunit, CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)",CAPNS1
Q14444,"Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137, GPI-p137, p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)",CAPRIN1
Q13938,Calcyphosin (Calcyphosine),CAPS
Q8WWF8,Calcyphosin-like protein,CAPSL
P52907,F-actin-capping protein subunit alpha-1 (CapZ alpha-1),CAPZA1
P47755,F-actin-capping protein subunit alpha-2 (CapZ alpha-2),CAPZA2
P47756,F-actin-capping protein subunit beta (CapZ beta),CAPZB
Q9Y2V2,"Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa, CRHSP-24)",CARHSP1
P49589,"Cysteine--tRNA ligase, cytoplasmic, EC 6.1.1.16 (Cysteinyl-tRNA synthetase, CysRS)",CARS1
P31944,"Caspase-14, CASP-14, EC 3.4.22.- [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form ]",CASP14
P42574,"Caspase-3, CASP-3, EC 3.4.22.56 (Apopain) (Cysteine protease CPP32, CPP-32) (Protein Yama) (SREBP cleavage activity 1, SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12 ]",CASP3
P20810,Calpastatin (Calpain inhibitor) (Sperm BS-17 component),CAST
P04040,"Catalase, EC 1.11.1.6",CAT
Q03135,Caveolin-1,CAV1
Q6NZI2,Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor),CAVIN1
O95810,Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein),CAVIN2
P16152,"Carbonyl reductase [NADPH] 1, EC 1.1.1.184 (15-hydroxyprostaglandin dehydrogenase [NADP(+)], EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1, EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase, PG-9-KR) (Prostaglandin-E(2) 9-reductase, EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)",CBR1
O75828,"Carbonyl reductase [NADPH] 3, EC 1.1.1.184 (NADPH-dependent carbonyl reductase 3) (Quinone reductase CBR3, EC 1.6.5.10) (Short chain dehydrogenase/reductase family 21C member 2)",CBR3
Q8N4T8,"3-oxoacyl-[acyl-carrier-protein] reductase, EC 1.1.1.100 (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit, KAR beta subunit) (Carbonyl reductase family member 4, CBR4) (Quinone reductase CBR4, EC 1.6.5.10) (Short chain dehydrogenase/reductase family 45C member 1)",CBR4
Q13185,"Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma, HP1 gamma) (Modifier 2 protein)",CBX3
Q6P1N0,"Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1, FRE under dual repression-binding protein 1, Freud-1) (Putative NF-kappa-B-activating protein 023N)",CC2D1A
Q8N163,"Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein, DBC-1, DBC.1) (NET35) (p30 DBC)",CCAR2
Q96A19,Coiled-coil domain-containing protein 102A,CCDC102A
Q68D86,Coiled-coil domain-containing protein 102B,CCDC102B
Q16204,Coiled-coil domain-containing protein 6 (Papillary thyroid carcinoma-encoded protein) (Protein H4),CCDC6
P48745,CCN family member 3 (Cellular communication network factor 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephro blastoma-overexpressed gene protein homolog) (Protein NOV homolog) (NovH),CCN3 IGFBP9 NOV NOVH
O14618,Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone),CCS
P78371,"T-complex protein 1 subunit beta, TCP-1-beta (CCT-beta)",CCT2
P49368,"T-complex protein 1 subunit gamma, TCP-1-gamma (CCT-gamma) (hTRiC5)",CCT3
P50991,"T-complex protein 1 subunit delta, TCP-1-delta (CCT-delta) (Stimulator of TAR RNA-binding)",CCT4
P48643,"T-complex protein 1 subunit epsilon, TCP-1-epsilon (CCT-epsilon)",CCT5
P40227,"T-complex protein 1 subunit zeta, TCP-1-zeta (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)",CCT6A
Q99832,"T-complex protein 1 subunit eta, TCP-1-eta (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed ]",CCT7
P50990,"T-complex protein 1 subunit theta, TCP-1-theta (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)",CCT8
Q6YHK3,CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109),CD109 CPAMD7
P08571,"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form ]",CD14
Q86VB7,"Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163, sCD163 ]",CD163
Q8N6Q3,CD177 antigen (Human neutrophil alloantigen 2a) (HNA-2a) (NB1 glycoprotein) (NB1 GP) (Polycythemia rubra vera protein 1) (PRV-1) (CD antigen CD177),CD177 NB1 PRV1 UNQ595/PRO1181
Q9Y5K6,CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains),CD2AP
P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38),CD38
P16070,"CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III, ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1, PGP-1) (Phagocytic glycoprotein I, PGP-I) (CD antigen CD44)",CD44
Q08722,"Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein, IAP) (Protein MER6) (CD antigen CD47)",CD47
P08174,Complement decay-accelerating factor (CD antigen CD55),CD55
P13987,"CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor, HRF-20, HRF20) (MAC-inhibitory protein, MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor, MACIF) (Membrane inhibitor of reactive lysis, MIRL) (Protectin) (CD antigen CD59)",CD59
O43866,"CD5 antigen-like (Apoptosis inhibitor expressed by macrophages, hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)",CD5L
P08962,"CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3, LAMP-3) (Lysosome integral membrane protein 1, Limp1) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30, Tspan-30) (CD antigen CD63)",CD63
P04233,"HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain, Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide, CLIP ]",CD74
P60033,"CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28, Tspan-28) (CD antigen CD81)",CD81
P21926,"CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein, MRP-1) (Tetraspanin-29, Tspan-29) (p24) (CD antigen CD9)",CD9
P14209,CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99),CD99
P32320,"Cytidine deaminase, EC 3.5.4.5 (Cytidine aminohydrolase)",CDA
Q16543,"Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed ]",CDC37
P60953,"Cell division control protein 42 homolog, EC 3.6.5.2 (G25K GTP-binding protein)",CDC42
P12830,"Cadherin-1 (CAM 120/80) (Epithelial cadherin, E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3 ]",CDH1
P55290,"Cadherin-13 (Heart cadherin, H-cadherin) (P105) (Truncated cadherin, T-cad, T-cadherin)",CDH13
P33151,"Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin, VE-cadherin) (CD antigen CD144)",CDH5
O95674,"Phosphatidate cytidylyltransferase 2, EC 2.7.7.41 (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2, CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)",CDS2
Q9UKY7,Protein CDV3 homolog,CDV3
P06731,"Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen, CEA) (Meconium antigen 100) (CD antigen CD66e)",CEACAM5
P31997,Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b),CEACAM8
P23141,"Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase, ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1, CE-1, hCE-1, EC 3.1.1.1) (Cholesteryl ester hydrolase, CEH, EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1, EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase, REH) (Serine esterase 1) (Triacylglycerol hydrolase, TGH)",CES1
O00748,"Cocaine esterase, EC 3.1.1.84 (Carboxylesterase 2, CE-2, hCE-2, EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2, EC 3.1.1.56)",CES2
Q6NT32,Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein homolog) (Cauxin),CES5A CES7
Q9Y6A4,Cilia- and flagella-associated protein 20 (Basal body up-regulated protein 22) (Transcription factor IIB),CFAP20
Q8N1V2,Cilia- and flagella-associated protein 52 (WD repeat-containing protein 16) (WD40-repeat protein up-regulated in HCC),CFAP52
P00751,"Complement factor B, EC 3.4.21.47 (C3/C5 convertase) (Glycine-rich beta glycoprotein, GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment ]",CFB
P00746,"Complement factor D, EC 3.4.21.46 (Adipsin) (C3 convertase activator) (Properdin factor D)",CFD
P08603,Complement factor H (H factor 1),CFH
Q03591,"Complement factor H-related protein 1, FHR-1 (H factor-like protein 1, H-factor-like 1) (H36)",CFHR1
P36980,"Complement factor H-related protein 2, FHR-2 (DDESK59) (H factor-like 3) (H factor-like protein 2)",CFHR2
Q02985,"Complement factor H-related protein 3, FHR-3 (DOWN16) (H factor-like protein 3)",CFHR3
Q92496,"Complement factor H-related protein 4, FHR-4",CFHR4
Q9BXR6,"Complement factor H-related protein 5, FHR-5",CFHR5
P05156,"Complement factor I, EC 3.4.21.45 (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain ]",CFI
P23528,"Cofilin-1 (18 kDa phosphoprotein, p18) (Cofilin, non-muscle isoform)",CFL1
P27918,Properdin (Complement factor P),CFP
Q9Y6H1,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein, NS2TP)",CHCHD2
Q9NX63,MICOS complex subunit MIC19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3),CHCHD3
P05060,Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide],CHGB SCG1
P36222,"Chitinase-3-like protein 1 (39 kDa synovial protein) (Cartilage glycoprotein 39, CGP-39, GP-39, hCGP-39) (YKL-40)",CHI3L1
Q9BWS9,Chitinase domain-containing protein 1 (Stabilin-1-interacting chitinase-like protein) (SI-CLP),CHID1 GL008 PSEC0104 SB139
Q9HD42,"Charged multivesicular body protein 1a (Chromatin-modifying protein 1a, CHMP1a) (Vacuolar protein sorting-associated protein 46-1, Vps46-1, hVps46-1)",CHMP1A
Q7LBR1,"Charged multivesicular body protein 1b (CHMP1.5) (Chromatin-modifying protein 1b, CHMP1b) (Vacuolar protein sorting-associated protein 46-2, Vps46-2, hVps46-2)",CHMP1B
O43633,"Charged multivesicular body protein 2a (Chromatin-modifying protein 2a, CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1, Vps2-1, hVps2-1)",CHMP2A
Q9H444,"Charged multivesicular body protein 4b (Chromatin-modifying protein 4b, CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2, hSnf7-2) (Vacuolar protein sorting-associated protein 32-2, Vps32-2, hVps32-2)",CHMP4B
Q9NZZ3,"Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60, Vps60, hVps60)",CHMP5
Q8WUX9,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),CHMP7
Q9UHD1,"Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1, CHORD-containing protein 1, CHP-1) (Protein morgana)",CHORDC1
Q9Y3Y2,"Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein, SRAG)",CHTOP
Q99828,"Calcium and integrin-binding protein 1, CIB (Calcium- and integrin-binding protein, CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein, KIP) (SNK-interacting protein 2-28, SIP2-28)",CIB1
Q14011,Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP),CIRBP
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1 (MitoNEET),CISD1
Q07065,"Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein, Climp-63, p63)",CKAP4
P12277,"Creatine kinase B-type, EC 2.7.3.2 (Brain creatine kinase, B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type, CPK-B)",CKB
P12532,"Creatine kinase U-type, mitochondrial, EC 2.7.3.2 (Acidic-type mitochondrial creatine kinase, Mia-CK) (Ubiquitous mitochondrial creatine kinase, U-MtCK)",CKMT1A; CKMT1B
O75122,"CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2) (Protein Orbit homolog 2, hOrbit2)",CLASP2
Q05315,"Galectin-10, Gal-10 (Charcot-Leyden crystal protein, CLC) (Eosinophil lysophospholipase) (Lysolecithin acylhydrolase)",CLC
P05452,"Tetranectin, TN (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)",CLEC3B
O00299,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)",CLIC1
O15247,Chloride intracellular channel protein 2 (XAP121),CLIC2
Q9Y696,Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1),CLIC4
Q9NZA1,Chloride intracellular channel protein 5,CLIC5
Q96NY7,Chloride intracellular channel protein 6 (Parchorin),CLIC6
Q14677,"Clathrin interactor 1 (Clathrin-interacting protein localized in the trans-Golgi region, Clint) (Enthoprotin) (Epsin-4) (Epsin-related protein, EpsinR)",CLINT1
P30622,"CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2, CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)",CLIP1
Q9UDT6,"CAP-Gly domain-containing linker protein 2 (Cytoplasmic linker protein 115, CLIP-115) (Cytoplasmic linker protein 2) (Williams-Beuren syndrome chromosomal region 3 protein) (Williams-Beuren syndrome chromosomal region 4 protein)",CLIP2
O75503,"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]",CLN5
Q9H078,"Caseinolytic peptidase B protein homolog, EC 3.6.1.- (Suppressor of potassium transport defect 3)",CLPB
O94985,Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)],CLSTN1 CS1 KIAA0911
P09496,"Clathrin light chain A, Lca",CLTA
P09497,"Clathrin light chain B, Lcb",CLTB
Q00610,"Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17, CLH-17)",CLTC
P10909,"Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J, Apo-J) (Complement cytolysis inhibitor, CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2, SGP-2) (Testosterone-repressed prostate message 2, TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) ]",CLU
Q8NFW8,"N-acylneuraminate cytidylyltransferase, EC 2.7.7.43 (CMP-N-acetylneuraminic acid synthase, CMP-NeuNAc synthase)",CMAS
Q96DG6,"Carboxymethylenebutenolidase homolog, EC 3.1.-.-",CMBL
P30085,"UMP-CMP kinase, EC 2.7.4.14 (Deoxycytidylate kinase, CK, dCMP kinase) (Nucleoside-diphosphate kinase, EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase, UMP/CMP kinase, UMP/CMPK)",CMPK1
P62633,"CCHC-type zinc finger nucleic acid binding protein (Cellular nucleic acid-binding protein, CNBP) (Zinc finger protein 9)",CNBP
Q96KP4,"Cytosolic non-specific dipeptidase, EC 3.4.13.18 (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1) (Peptidase A) (Threonyl dipeptidase)",CNDP2
P51911,"Calponin-1 (Basic calponin) (Calponin H1, smooth muscle)",CNN1
Q99439,"Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)",CNN2
Q15417,"Calponin-3 (Calponin, acidic isoform)",CNN3
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",CNP
Q9Y2B0,Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein Zsig9) (Transmembrane protein 4),CNPY2
Q96F85,"CB1 cannabinoid receptor-interacting protein 1, CRIP-1",CNRIP1
Q9UHC6,Contactin-associated protein-like 2 (Cell recognition molecule Caspr2),CNTNAP2 CASPR2 KIAA0868
